Player,Position,Age,Market Value,Nationality,Joined Club,Joined League,Transfer Fee
Roko Simic,Centre-Forward,20,EUR6.00m,Croatia,KV Kortrijk,Jupiler Pro League,loan transfer
Walid Cheddira,Centre-Forward,26,EUR6.00m,Morocco,Espanyol,LaLiga,loan transfer
Lorenzo Colombo,Centre-Forward,22,EUR6.00m,Italy,FC Empoli,Serie A,loan transfer
Johann Lepenant,Defensive Midfield,21,EUR6.00m,France,FC Nantes,Ligue 1,loan transfer
Festy Ebosele,Right-Back,22,EUR6.00m,Ireland,Watford,Championship,loan transfer
Pape Gueye,Defensive Midfield,25,EUR6.00m,Senegal,Villarreal,LaLiga,free transfer
Sergi Cardona,Left-Back,25,EUR6.00m,Spain,Villarreal,LaLiga,free transfer
Mady Camara,Central Midfield,27,EUR6.00m,Guinea,PAOK Salonika,Super League 1,free transfer
Jaidon Anthony,Left Winger,24,EUR6.00m,England,Burnley,Championship,loan transfer
Gianluca Gaetano,Attacking Midfield,24,EUR6.00m,Italy,Cagliari Calcio,Serie A,loan transfer
Oliver Torres,Central Midfield,29,EUR6.00m,Spain,Monterrey,Liga MX Apertura,free transfer
Soumaila Coulibaly,Centre-Back,20,EUR6.00m,France,Stade Brestois,Ligue 1,loan transfer
Sofiane Boufal,Left Winger,30,EUR6.00m,Morocco,Union SG,Jupiler Pro League,free transfer
Berat Ozdemir,Defensive Midfield,26,EUR6.00m,Türkiye,Basaksehir,Super Lig,loan transfer
Koen Casteels,Goalkeeper,32,EUR6.00m,Belgium,Al-Qadsiah,Saudi Pro League,free transfer
Elias Jelert,Right-Back,21,EUR5.50m,Denmark,Galatasaray,Super Lig,EUR9.00m
Benja Dominguez,Left Winger,20,EUR5.50m,Argentina,Bologna,Serie A,EUR4.00m
Lorenzo Pirola,Centre-Back,22,EUR5.50m,Italy,Olympiacos,Super League 1,EUR3.00m
Diogo Goncalves,Central Midfield,27,EUR5.50m,Portugal,Salt Lake,MLS,EUR3.00m
Marcus Pedersen,Right-Back,24,EUR5.50m,Norway,Torino,Serie A,Loan fee:EUR1.00m
Danilo Cataldi,Defensive Midfield,30,EUR5.50m,Italy,Fiorentina,Serie A,loan transfer
Carlos Junior,Right Winger,29,EUR5.50m,Brazil,NEOM SC,Saudi First Division League,loan transfer
Orri Oskarsson,Centre-Forward,20,EUR5.00m,Iceland,Real Sociedad,LaLiga,EUR20.00m
Caleb Wiley,Left-Back,19,EUR5.00m,United States,Chelsea,Premier League,EUR10.10m
Carlos Andres Gomez,Right Winger,21,EUR5.00m,Colombia,Stade Rennais,Ligue 1,EUR10.00m
Willy Kambwala,Centre-Back,19,EUR5.00m,France,Villarreal,LaLiga,EUR10.00m
Ezequiel Ponce,Centre-Forward,27,EUR5.00m,Argentina,Houston,MLS,EUR9.00m
Pierre-Emerick Aubameyang,Centre-Forward,35,EUR5.00m,Gabon,Al-Qadsiah,Saudi Pro League,EUR9.00m
Luis Maximiano,Goalkeeper,25,EUR5.00m,Portugal,UD Almeria,LaLiga2,EUR8.10m
Robin Hranac,Centre-Back,24,EUR5.00m,Czech Republic,TSG Hoffenheim,Bundesliga,EUR8.00m
Alberto Dossena,Centre-Back,25,EUR5.00m,Italy,Como,Serie A,EUR8.00m
Felix Lemarechal,Attacking Midfield,21,EUR5.00m,France,R. Strasbourg,Ligue 1,EUR6.00m
Emil Audero,Goalkeeper,27,EUR5.00m,Italy,Como,Serie A,EUR6.00m
Marko Stamenic,Defensive Midfield,22,EUR5.00m,New Zealand,Nottm Forest,Premier League,EUR5.50m
Vitinho,Right-Back,25,EUR5.00m,Brazil,Botafogo,Serie A,EUR8.00m
Largie Ramazani,Left Winger,23,EUR5.00m,Belgium,Leeds,Championship,EUR7.70m
Malick Yalcouye,Central Midfield,18,EUR5.00m,Mali,Brighton,Premier League,EUR7.00m
Anan Khalaili,Right Winger,19,EUR5.00m,Israel,Union SG,Jupiler Pro League,EUR6.50m
Suat Serdar,Central Midfield,27,EUR5.00m,Germany,Hellas Verona,Serie A,EUR4.50m
Andrea Belotti,Centre-Forward,30,EUR5.00m,Italy,Como,Serie A,EUR4.50m
Amankwah Forson,Central Midfield,21,EUR5.00m,Ghana,Norwich,Championship,EUR4.50m
Geronimo Rulli,Goalkeeper,32,EUR5.00m,Argentina,Marseille,Ligue 1,EUR4.00m
Jeremy Le Douaron,Left Winger,26,EUR5.00m,France,Palermo,Serie B,EUR4.00m
Kamory Doumbia,Attacking Midfield,21,EUR5.00m,Mali,Stade Brestois,Ligue 1,EUR4.00m
Enzo Copetti,Centre-Forward,28,EUR5.00m,Argentina,Rosario Central,Liga Profesional,EUR3.96m
Monchu,Central Midfield,24,EUR5.00m,Spain,Aris Saloniki,Super League 1,EUR3.60m
Aboubakary Koita,Left Winger,25,EUR5.00m,Mauritania,AEK Athens,Super League 1,EUR3.60m
Tomas Belmonte,Defensive Midfield,26,EUR5.00m,Argentina,Boca Juniors,Liga Profesional,EUR3.55m
Romain Perraud,Left-Back,26,EUR5.00m,France,Real Betis,LaLiga,EUR3.50m
Hayao Kawabe,Central Midfield,28,EUR5.00m,Japan,Sanf. Hiroshima,J1 League,EUR3.50m
Alexander Aravena,Left Winger,21,EUR5.00m,Chile,Gremio,Serie A,EUR3.20m
Jan-Carlo Simic,Centre-Back,19,EUR5.00m,Serbia,RSC Anderlecht,Jupiler Pro League,EUR3.00m
Leopold Querfeld,Centre-Back,20,EUR5.00m,Austria,Union Berlin,Bundesliga,EUR3.00m
Laszlo Benes,Central Midfield,26,EUR5.00m,Slovakia,Union Berlin,Bundesliga,EUR3.00m
Mathias Delorge,Central Midfield,19,EUR5.00m,Belgium,KAA Gent,Jupiler Pro League,EUR3.00m
Hugo Siquet,Right-Back,22,EUR5.00m,Belgium,Club Brugge,Jupiler Pro League,EUR3.00m
Alan Cervantes,Defensive Midfield,26,EUR5.00m,Mexico,America,Liga MX Apertura,EUR3.00m
Jan Kuchta,Centre-Forward,27,EUR5.00m,Czech Republic,FC Midtjylland,Superliga,EUR2.70m
Conan Ledesma,Goalkeeper,31,EUR5.00m,Argentina,River Plate,Liga Profesional,EUR2.60m
Oleksandr Pikhalyonok,Central Midfield,27,EUR5.00m,Ukraine,Dynamo Kyiv,Premier Liga,EUR2.50m
Serdar Saatci,Centre-Back,21,EUR5.00m,Türkiye,Trabzonspor,Super Lig,EUR2.50m
Alhassan Yusuf,Central Midfield,24,EUR5.00m,Nigeria,New England,MLS,EUR2.30m
Matte Smets,Centre-Back,20,EUR5.00m,Belgium,KRC Genk,Jupiler Pro League,EUR2.25m
Leonidas Stergiou,Centre-Back,22,EUR5.00m,Switzerland,VfB Stuttgart,Bundesliga,EUR2.00m
Willian Jose,Centre-Forward,32,EUR5.00m,Brazil,Spartak Moscow,Premier Liga,EUR2.00m
Sam Lammers,Centre-Forward,27,EUR5.00m,Netherlands,Twente FC,Eredivisie,EUR2.00m
Toni Martinez,Centre-Forward,27,EUR5.00m,Spain,Alaves,LaLiga,EUR2.00m
Ivan Sergeev,Centre-Forward,29,EUR5.00m,Russia,KS Samara,Premier Liga,EUR2.00m
Juan Musso,Goalkeeper,30,EUR5.00m,Argentina,Atletico Madrid,LaLiga,Loan fee:EUR1.50m
Joselu,Centre-Forward,34,EUR5.00m,Spain,Real Madrid,LaLiga,EUR1.50m
Joselu,Centre-Forward,34,EUR5.00m,Spain,Al-Gharafa SC,Stars League,EUR1.50m
Denis Vavro,Centre-Back,28,EUR5.00m,Slovakia,VfL Wolfsburg,Bundesliga,Loan fee:EUR750k
Donny van de Beek,Central Midfield,27,EUR5.00m,Netherlands,Girona,LaLiga,EUR500k
Felipe Carballo,Central Midfield,27,EUR5.00m,Uruguay,New York,MLS,Loan fee:EUR455k
Kevin Stoger,Attacking Midfield,30,EUR5.00m,Austria,Bor. M'gladbach,Bundesliga,free transfer
Yannik Keitel,Defensive Midfield,24,EUR5.00m,Germany,VfB Stuttgart,Bundesliga,free transfer
Dani de Wit,Attacking Midfield,26,EUR5.00m,Netherlands,VfL Bochum,Bundesliga,free transfer
Myron Boadu,Centre-Forward,23,EUR5.00m,Netherlands,VfL Bochum,Bundesliga,loan transfer
Alex Kral,Defensive Midfield,26,EUR5.00m,Czech Republic,Union Berlin,Bundesliga,free transfer
Malick Yalcouye,Central Midfield,18,EUR5.00m,Mali,Sturm Graz,Bundesliga,loan transfer
Leo Sauer,Left Winger,18,EUR5.00m,Slovakia,NAC Breda,Eredivisie,loan transfer
Alessandro Zanoli,Right-Back,23,EUR5.00m,Italy,Genoa,Serie A,loan transfer
Casper Tengstedt,Centre-Forward,24,EUR5.00m,Denmark,Hellas Verona,Serie A,loan transfer
Domagoj Bradaric,Left-Back,24,EUR5.00m,Croatia,Hellas Verona,Serie A,loan transfer
Alfie Gilchrist,Centre-Back,20,EUR5.00m,England,Sheff Utd,Championship,loan transfer
Zinho Vanheusden,Centre-Back,24,EUR5.00m,Belgium,KV Mechelen,Jupiler Pro League,loan transfer
Augusto Batalla,Goalkeeper,28,EUR5.00m,Argentina,Rayo Vallecano,LaLiga,loan transfer
James Rodriguez,Attacking Midfield,33,EUR5.00m,Colombia,Rayo Vallecano,LaLiga,free transfer
Rick Karsdorp,Right-Back,29,EUR5.00m,Netherlands,PSV Eindhoven,Eredivisie,free transfer
John Lundstram,Defensive Midfield,30,EUR5.00m,England,Trabzonspor,Super Lig,free transfer
Andoni Gorosabel,Right-Back,27,EUR5.00m,Spain,Athletic,LaLiga,free transfer
Caleb Wiley,Left-Back,19,EUR5.00m,United States,R. Strasbourg,Ligue 1,loan transfer
Marko Stamenic,Defensive Midfield,22,EUR5.00m,New Zealand,Olympiacos,Super League 1,loan transfer
Alex Kral,Defensive Midfield,26,EUR5.00m,Czech Republic,Espanyol,LaLiga,loan transfer
Sebastiano Esposito,Centre-Forward,22,EUR5.00m,Italy,FC Empoli,Serie A,loan transfer
Mattia Viti,Centre-Back,22,EUR5.00m,Italy,FC Empoli,Serie A,loan transfer
Borja Iglesias,Centre-Forward,31,EUR5.00m,Spain,Celta de Vigo,LaLiga,loan transfer
Mason Holgate,Centre-Back,27,EUR5.00m,England,West Brom,Championship,loan transfer
Bobby De Cordova-Reid,Right Winger,31,EUR5.00m,Jamaica,Leicester,Premier League,free transfer
James Beadle,Goalkeeper,19,EUR5.00m,England,Sheff Wed,Championship,loan transfer
Marco Reus,Attacking Midfield,35,EUR5.00m,Germany,LA Galaxy,MLS,free transfer
Rafik Guitane,Right Winger,25,EUR5.00m,Algeria,SC Braga,Liga Portugal,loan transfer
Luka Romero,Right Winger,19,EUR5.00m,Argentina,Alaves,LaLiga,loan transfer
Renato Tapia,Defensive Midfield,29,EUR5.00m,Peru,CD Leganes,LaLiga,free transfer
Aurelio Buta,Right-Back,27,EUR5.00m,Portugal,Stade Reims,Ligue 1,loan transfer
Victor Hugo,Attacking Midfield,20,EUR5.00m,Brazil,Goztepe,Super Lig,loan transfer
Iker Muniain,Attacking Midfield,31,EUR5.00m,Spain,San Lorenzo,Liga Profesional,free transfer
Bruno Mendez,Centre-Back,24,EUR5.00m,Uruguay,Toluca,Liga MX Apertura,free transfer
Federico Vinas,Centre-Forward,26,EUR5.00m,Uruguay,Real Oviedo,LaLiga2,loan transfer
Kacper Kozlowski,Central Midfield,20,EUR5.00m,Poland,Gaziantep FK,Super Lig,?
Connor Goldson,Centre-Back,31,EUR5.00m,England,Aris Limassol,Cyprus League,?
Nahitan Nandez,Central Midfield,28,EUR5.00m,Uruguay,Al-Qadsiah,Saudi Pro League,free transfer
Lewis O'Brien,Central Midfield,25,EUR5.00m,England,LAFC,MLS,loan transfer
Jack Rudoni,Central Midfield,23,EUR4.80m,England,Coventry,Championship,EUR5.90m
Matteo Cancellieri,Right Winger,22,EUR4.80m,Italy,Parma,Serie A,Loan fee:EUR1.20m
Bashir Humphreys,Centre-Back,21,EUR4.80m,England,Burnley,Championship,loan transfer
Moise Bombito,Centre-Back,24,EUR4.50m,Canada,OGC Nice,Ligue 1,EUR7.00m
Fidel Ambriz,Defensive Midfield,21,EUR4.50m,Mexico,Monterrey,Liga MX Apertura,EUR6.67m
Luca Langoni,Right Winger,22,EUR4.50m,Argentina,New England,MLS,EUR6.20m
Giovanni Leoni,Centre-Back,17,EUR4.50m,Italy,Parma,Serie A,EUR5.00m
Jordan James,Central Midfield,20,EUR4.50m,Wales,Stade Rennais,Ligue 1,EUR5.00m
Sergey Volkov,Right-Back,21,EUR4.50m,Russia,Zenit S-Pb,Premier Liga,EUR5.00m
Mark McGuinness,Centre-Back,23,EUR4.50m,Ireland,Luton,Championship,EUR11.70m
Jurgen Ekkelenkamp,Attacking Midfield,24,EUR4.50m,Netherlands,Udinese Calcio,Serie A,EUR5.50m
Ryan Giles,Left-Back,24,EUR4.50m,England,Hull City,Championship,EUR5.30m
Fausto Vera,Defensive Midfield,24,EUR4.50m,Argentina,Atletico-MG,Serie A,EUR4.50m
Jesper Daland,Centre-Back,24,EUR4.50m,Norway,Cardiff,Championship,EUR4.10m
Nedim Bajrami,Attacking Midfield,25,EUR4.50m,Albania,Rangers,Premiership,EUR4.00m
Jens Odgaard,Centre-Forward,25,EUR4.50m,Denmark,Bologna,Serie A,EUR4.00m
Troy Parrott,Centre-Forward,22,EUR4.50m,Ireland,AZ Alkmaar,Eredivisie,EUR4.00m
Aaron Quiros,Centre-Back,22,EUR4.50m,Argentina,Velez Sarsfield,Liga Profesional,EUR2.76m
Nediljko Labrovic,Goalkeeper,24,EUR4.50m,Croatia,FC Augsburg,Bundesliga,EUR2.50m
Joaquin Pereyra,Central Midfield,25,EUR4.50m,Argentina,Minnesota,MLS,EUR2.19m
Brooke Norton-Cuffy,Right-Back,20,EUR4.50m,England,Genoa,Serie A,EUR2.00m
Zan Celar,Centre-Forward,25,EUR4.50m,Slovenia,QPR,Championship,EUR2.00m
Tomas Conechny,Left Winger,26,EUR4.50m,Argentina,Alaves,LaLiga,EUR2.00m
Giovanni Leoni,Centre-Back,17,EUR4.50m,Italy,Sampdoria,Serie B,EUR1.50m
Jean-Philippe Krasso,Centre-Forward,26,EUR4.50m,Cote d'Ivoire,Paris FC,Ligue 2,EUR1.50m
DeJuan Jones,Left-Back,27,EUR4.50m,United States,Columbus,MLS,EUR550k
Paxten Aaronson,Attacking Midfield,20,EUR4.50m,United States,FC Utrecht,Eredivisie,loan transfer
Stijn Spierings,Defensive Midfield,28,EUR4.50m,Netherlands,Brondby IF,Superliga,free transfer
Ki-Jana Hoever,Right-Back,22,EUR4.50m,Netherlands,AJ Auxerre,Ligue 1,loan transfer
Sam Greenwood,Attacking Midfield,22,EUR4.50m,England,Preston,Championship,loan transfer
Oli McBurnie,Centre-Forward,28,EUR4.50m,Scotland,UD Las Palmas,LaLiga,free transfer
Antonio Raimondo,Centre-Forward,20,EUR4.50m,Italy,Venezia,Serie A,loan transfer
Praxedes,Central Midfield,22,EUR4.50m,Brazil,Athletico-PR,Serie A,loan transfer
Marash Kumbulla,Centre-Back,24,EUR4.50m,Albania,Espanyol,LaLiga,loan transfer
Agustin Alvarez,Centre-Forward,23,EUR4.50m,Uruguay,Elche CF,LaLiga2,loan transfer
Daniel Maldini,Attacking Midfield,22,EUR4.50m,Italy,Monza,Serie A,free transfer
Rodrigo,Centre-Forward,33,EUR4.50m,Spain,Al-Gharafa SC,Stars League,loan transfer
Antonin Barak,Attacking Midfield,29,EUR4.50m,Czech Republic,Kasimpasa,Super Lig,loan transfer
Oguz Aydin,Right Winger,23,EUR4.30m,Türkiye,Fenerbahce,Super Lig,EUR6.00m
Emirhan Topcu,Centre-Back,23,EUR4.30m,Türkiye,Besiktas,Super Lig,EUR3.40m
Youcef Atal,Right-Back,28,EUR4.30m,Algeria,Al-Sadd SC,Stars League,free transfer
Ricardo Gomes,Centre-Forward,32,EUR4.30m,Cape Verde,Al-Wakrah SC,Stars League,?
Sorba Thomas,Right Winger,25,EUR4.20m,Wales,FC Nantes,Ligue 1,loan transfer
Zian Flemming,Attacking Midfield,26,EUR4.20m,Netherlands,Burnley,Championship,loan transfer
Thierno Barry,Centre-Forward,21,EUR4.00m,France,Villarreal,LaLiga,EUR14.00m
Tim Iroegbunam,Central Midfield,21,EUR4.00m,England,Everton,Premier League,EUR10.70m
Marko Arnautovic,Centre-Forward,35,EUR4.00m,Austria,Inter,Serie A,EUR8.00m
Yannik Engelhardt,Defensive Midfield,23,EUR4.00m,Germany,Como,Serie A,EUR8.00m
Ibrahim Sulemana,Defensive Midfield,21,EUR4.00m,Ghana,Atalanta BC,Serie A,EUR7.50m
Kaio Jorge,Centre-Forward,22,EUR4.00m,Brazil,Cruzeiro,Serie A,EUR7.20m
Mama Balde,Centre-Forward,28,EUR4.00m,Guinea-Bissau,Olympique Lyon,Ligue 1,EUR6.00m
Jordan Ayew,Centre-Forward,32,EUR4.00m,Ghana,Leicester,Premier League,EUR5.90m
Tommy Conway,Centre-Forward,22,EUR4.00m,Scotland,Middlesbrough,Championship,EUR5.30m
Alex Jimenez,Left-Back,19,EUR4.00m,Spain,AC Milan,Serie A,EUR5.00m
Mohamed Diomande,Central Midfield,22,EUR4.00m,Cote d'Ivoire,Rangers,Premiership,EUR5.00m
Gabriel Pereira,Centre-Back,24,EUR4.00m,Brazil,FC Copenhagen,Superliga,EUR5.00m
Marquinhos,Left Winger,24,EUR4.00m,Brazil,Spartak Moscow,Premier Liga,EUR5.00m
Skelly Alvero,Central Midfield,22,EUR4.00m,France,Werder Bremen,Bundesliga,EUR4.75m
Jesus Gallardo,Left-Back,29,EUR4.00m,Mexico,Toluca,Liga MX Apertura,EUR4.70m
Benie Traore,Centre-Forward,21,EUR4.00m,Cote d'Ivoire,FC Basel,Super League,EUR4.50m
Charlie Cresswell,Centre-Back,21,EUR4.00m,England,Toulouse,Ligue 1,EUR4.50m
Mama Balde,Centre-Forward,28,EUR4.00m,Guinea-Bissau,Stade Brestois,Ligue 1,EUR4.50m
Jhon Jhon,Attacking Midfield,21,EUR4.00m,Brazil,RB Bragantino,Serie A,EUR4.10m
Mohamed Belloumi,Right Winger,22,EUR4.00m,Algeria,Hull City,Championship,EUR5.50m
Felicio Milson,Left Winger,24,EUR4.00m,Angola,Red Star,Super liga Srbije,EUR5.00m
Bojan Miovski,Centre-Forward,25,EUR4.00m,North Macedonia,Girona,LaLiga,EUR4.90m
Stipe Biuk,Left Winger,21,EUR4.00m,Croatia,Real Valladolid,LaLiga,EUR4.00m
Ao Tanaka,Central Midfield,25,EUR4.00m,Japan,Leeds,Championship,EUR4.00m
Gaetano Oristanio,Attacking Midfield,21,EUR4.00m,Italy,Venezia,Serie A,EUR4.00m
Carlos Miguel,Goalkeeper,25,EUR4.00m,Brazil,Nottm Forest,Premier League,EUR4.00m
Wilson Isidor,Centre-Forward,23,EUR4.00m,France,Zenit S-Pb,Premier Liga,EUR4.00m
Emin Bayram,Centre-Back,21,EUR4.00m,Türkiye,KVC Westerlo,Jupiler Pro League,EUR4.00m
Couhaib Driouech,Left Winger,22,EUR4.00m,Morocco,PSV Eindhoven,Eredivisie,EUR3.50m
Niklas Dorsch,Defensive Midfield,26,EUR4.00m,Germany,Heidenheim,Bundesliga,EUR3.50m
Alejandro Frances,Centre-Back,21,EUR4.00m,Spain,Girona,LaLiga,EUR3.50m
Sverrir Ingi Ingason,Centre-Back,30,EUR4.00m,Iceland,Panathinaikos,Super League 1,EUR3.08m
Ramon Mierez,Centre-Forward,27,EUR4.00m,Argentina,Al-Jazira,UAE Pro League,EUR3.00m
Kelvin Yeboah,Centre-Forward,24,EUR4.00m,Italy,Minnesota,MLS,EUR3.00m
Juan Barinaga,Right-Back,23,EUR4.00m,Argentina,Boca Juniors,Liga Profesional,EUR2.85m
Saud Abdulhamid,Right-Back,25,EUR4.00m,Saudi Arabia,AS Roma,Serie A,EUR2.50m
Ricardo Mangas,Left-Back,26,EUR4.00m,Portugal,Spartak Moscow,Premier Liga,EUR2.50m
Costinha,Right-Back,24,EUR4.00m,Portugal,Olympiacos,Super League 1,EUR2.50m
Mattia Zanotti,Right-Back,21,EUR4.00m,Italy,FC Lugano,Super League,EUR2.50m
Ciro Immobile,Centre-Forward,34,EUR4.00m,Italy,Besiktas,Super Lig,EUR2.00m
Pedro Malheiro,Right-Back,23,EUR4.00m,Portugal,Trabzonspor,Super Lig,EUR2.00m
Igor Lichnovsky,Centre-Back,30,EUR4.00m,Chile,America,Liga MX Apertura,EUR2.00m
Maxi Meza,Right Winger,31,EUR4.00m,Argentina,River Plate,Liga Profesional,EUR1.80m
Denis Dragus,Centre-Forward,24,EUR4.00m,Romania,Trabzonspor,Super Lig,EUR1.70m
Armindo Sieb,Second Striker,21,EUR4.00m,Germany,Bayern Munich,Bundesliga,EUR1.50m
Samed Bazdar,Centre-Forward,20,EUR4.00m,Serbia,Real Zaragoza,LaLiga2,EUR1.50m
Eros Mancuso,Right-Back,25,EUR4.00m,Argentina,Fortaleza,Serie A,EUR1.47m
Luis Rioja,Left Winger,30,EUR4.00m,Spain,Valencia,LaLiga,EUR1.20m
Armindo Sieb,Second Striker,21,EUR4.00m,Germany,1.FSV Mainz 05,Bundesliga,Loan fee:EUR1.00m
Marcos Acuna,Left-Back,32,EUR4.00m,Argentina,River Plate,Liga Profesional,EUR1.00m
Stoichkov,Second Striker,30,EUR4.00m,Spain,Alaves,LaLiga,EUR1.00m
Alex Sola,Right Winger,25,EUR4.00m,Spain,Getafe,LaLiga,EUR1.00m
Oscar Estupinan,Centre-Forward,27,EUR4.00m,Colombia,FC Juarez,Liga MX Apertura,EUR1.00m
Jackson Muleka,Centre-Forward,24,EUR4.00m,DR Congo,Al-Kholood,Saudi Pro League,Loan fee:EUR1.00m
Jarne Steuckers,Right Winger,22,EUR4.00m,Belgium,KRC Genk,Jupiler Pro League,EUR800k
Wilson Isidor,Centre-Forward,23,EUR4.00m,France,Sunderland,Championship,Loan fee:EUR750k
Dimitri Lavalee,Left-Back,27,EUR4.00m,Belgium,Sturm Graz,Bundesliga,EUR700k
Wilfried Kanga,Centre-Forward,26,EUR4.00m,Cote d'Ivoire,Cardiff,Championship,Loan fee:EUR500k
Roberto Piccoli,Centre-Forward,23,EUR4.00m,Italy,Cagliari Calcio,Serie A,Loan fee:EUR500k
Dion Beljo,Centre-Forward,22,EUR4.00m,Croatia,Rapid Vienna,Bundesliga,Loan fee:EUR300k
Santiago Longo,Defensive Midfield,26,EUR4.00m,Argentina,Sao Paulo,Serie A,Loan fee:EUR271k
Tom Krauss,Central Midfield,23,EUR4.00m,Germany,Luton,Championship,Loan fee:EUR250k
Marcos Antonio,Central Midfield,24,EUR4.00m,Brazil,Sao Paulo,Serie A,Loan fee:EUR150k
Ludwig Augustinsson,Left-Back,30,EUR4.00m,Sweden,RSC Anderlecht,Jupiler Pro League,free transfer
Nick Woltemade,Second Striker,22,EUR4.00m,Germany,VfB Stuttgart,Bundesliga,free transfer
Marco Grull,Left Winger,25,EUR4.00m,Austria,Werder Bremen,Bundesliga,free transfer
Cher Ndour,Central Midfield,20,EUR4.00m,Italy,Besiktas,Super Lig,loan transfer
Joao Mario,Central Midfield,31,EUR4.00m,Portugal,Besiktas,Super Lig,loan transfer
Takuma Asano,Right Winger,29,EUR4.00m,Japan,RCD Mallorca,LaLiga,free transfer
Pierluigi Gollini,Goalkeeper,29,EUR4.00m,Italy,Genoa,Serie A,loan transfer
Amin Sarr,Centre-Forward,23,EUR4.00m,Sweden,Hellas Verona,Serie A,loan transfer
Sinaly Diomande,Centre-Back,23,EUR4.00m,Cote d'Ivoire,AJ Auxerre,Ligue 1,free transfer
Gabriel Slonina,Goalkeeper,20,EUR4.00m,United States,Barnsley FC,League One,loan transfer
Eray Comert,Centre-Back,26,EUR4.00m,Switzerland,Real Valladolid,LaLiga,loan transfer
Cenk Ozkacar,Centre-Back,23,EUR4.00m,Türkiye,Real Valladolid,LaLiga,loan transfer
Stipe Biuk,Left Winger,21,EUR4.00m,Croatia,Hajduk Split,SuperSport HNL,loan transfer
Philip Zinckernagel,Left Winger,29,EUR4.00m,Denmark,Bodo/Glimt,Eliteserien,loan transfer
Tom Cannon,Centre-Forward,21,EUR4.00m,Ireland,Stoke City,Championship,loan transfer
Calum Chambers,Centre-Back,29,EUR4.00m,England,Cardiff,Championship,free transfer
Alfred Duncan,Central Midfield,31,EUR4.00m,Ghana,Venezia,Serie A,free transfer
Daniele Rugani,Centre-Back,30,EUR4.00m,Italy,Ajax,Eredivisie,loan transfer
Mihajlo Ilic,Centre-Back,21,EUR4.00m,Serbia,Partizan,Super liga Srbije,loan transfer
Malang Sarr,Centre-Back,25,EUR4.00m,France,Lens,Ligue 1,free transfer
Kevin Mbabu,Right-Back,29,EUR4.00m,Switzerland,FC Midtjylland,Superliga,free transfer
Frederic Guilbert,Right-Back,29,EUR4.00m,France,Lecce,Serie A,free transfer
Reuell Walters,Right-Back,19,EUR4.00m,England,Luton,Championship,free transfer
Koki Saito,Left Winger,23,EUR4.00m,Japan,QPR,Championship,loan transfer
Luca Mazzitelli,Central Midfield,28,EUR4.00m,Italy,Como,Serie A,loan transfer
Stole Dimitrievski,Goalkeeper,30,EUR4.00m,North Macedonia,Valencia,LaLiga,free transfer
Juan Bernat,Left-Back,31,EUR4.00m,Spain,Villarreal,LaLiga,loan transfer
Calvin Ramsay,Right-Back,20,EUR4.00m,Scotland,Wigan,League One,loan transfer
Shola Shoretire,Right Winger,20,EUR4.00m,England,PAOK Salonika,Super League 1,free transfer
Dennis Praet,Central Midfield,30,EUR4.00m,Belgium,Royal Antwerp,Jupiler Pro League,free transfer
Valentin Rosier,Right-Back,27,EUR4.00m,France,CD Leganes,LaLiga,free transfer
Bamba Dieng,Centre-Forward,24,EUR4.00m,Senegal,Angers SCO,Ligue 1,loan transfer
Sydney van Hooijdonk,Centre-Forward,24,EUR4.00m,Netherlands,Cesena,Serie B,free transfer
David Affengruber,Centre-Back,23,EUR4.00m,Austria,Elche CF,LaLiga2,free transfer
Riechedly Bazoer,Centre-Back,27,EUR4.00m,Curacao,Konyaspor,Super Lig,?
Sekou Koita,Centre-Forward,24,EUR4.00m,Mali,CSKA Moscow,Premier Liga,free transfer
Nico Melamed,Attacking Midfield,23,EUR4.00m,Spain,UD Almeria,LaLiga2,free transfer
Calegari,Right-Back,22,EUR4.00m,Brazil,Famalicao,Liga Portugal,loan transfer
Ibrahim Salah,Left Winger,23,EUR4.00m,Morocco,Stade Brestois,Ligue 1,loan transfer
Leonardo Spinazzola,Left-Back,31,EUR4.00m,Italy,SSC Napoli,Serie A,free transfer
Matteo Lovato,Centre-Back,24,EUR4.00m,Italy,Sassuolo,Serie B,loan transfer
Miguel Crespo,Central Midfield,27,EUR4.00m,Portugal,Basaksehir,Super Lig,free transfer
Alfredo Morelos,Centre-Forward,28,EUR4.00m,Colombia,Atl. Nacional,Liga DIMAYOR II,loan transfer
Iago,Left-Back,27,EUR4.00m,Brazil,EC Bahia,Serie A,free transfer
Biro,Right Winger,20,EUR4.00m,Brazil,Sharjah FC,UAE Pro League,loan transfer
Marcel Hartel,Central Midfield,28,EUR4.00m,Germany,St. Louis CITY,MLS,free transfer
Jayden Bogle,Right-Back,23,EUR3.80m,England,Leeds,Championship,EUR5.95m
Ronnie Edwards,Centre-Back,21,EUR3.80m,England,Southampton,Premier League,EUR3.50m
Nathan Wood,Centre-Back,22,EUR3.80m,England,Southampton,Premier League,EUR3.50m
Luke McNally,Centre-Back,24,EUR3.80m,Ireland,Bristol City,Championship,?
Toze,Attacking Midfield,31,EUR3.80m,Portugal,Al-Riyadh,Saudi Pro League,free transfer
Taxiarchis Fountas,Second Striker,28,EUR3.70m,Greece,OFI Crete FC,Super League 1,free transfer
Juninho Bacuna,Central Midfield,27,EUR3.60m,Curacao,Al-Wehda,Saudi Pro League,?
