Player,Position,Age,Market Value,Nationality,Joined Club,Joined League,Transfer Fee
Orel Mangala,Central Midfield,26,EUR20.00m,Belgium,Olympique Lyon,Ligue 1,EUR23.40m
Waldemar Anton,Centre-Back,27,EUR20.00m,Germany,Bor. Dortmund,Bundesliga,EUR22.50m
Brajan Gruda,Right Winger,20,EUR20.00m,Germany,Brighton,Premier League,EUR31.50m
Filip Jorgensen,Goalkeeper,22,EUR20.00m,Denmark,Chelsea,Premier League,EUR24.50m
Martin Terrier,Left Winger,27,EUR20.00m,France,B. Leverkusen,Bundesliga,EUR20.00m
Matvey Safonov,Goalkeeper,25,EUR20.00m,Russia,Paris SG,Ligue 1,EUR20.00m
Youssef En-Nesyri,Centre-Forward,27,EUR20.00m,Morocco,Fenerbahce,Super Lig,EUR19.50m
Georges Mikautadze,Centre-Forward,23,EUR20.00m,Georgia,Olympique Lyon,Ligue 1,EUR18.50m
Maxence Lacroix,Centre-Back,24,EUR20.00m,France,Crystal Palace,Premier League,EUR18.00m
Aaron Wan-Bissaka,Right-Back,26,EUR20.00m,England,West Ham,Premier League,EUR17.60m
Hugo Ekitike,Centre-Forward,22,EUR20.00m,France,E. Frankfurt,Bundesliga,EUR16.50m
Mohamed Camara,Defensive Midfield,24,EUR20.00m,Mali,Al-Sadd SC,Stars League,EUR16.50m
Said Benrahma,Left Winger,28,EUR20.00m,Algeria,Olympique Lyon,Ligue 1,EUR14.40m
Malik Tillman,Attacking Midfield,22,EUR20.00m,United States,PSV Eindhoven,Eredivisie,EUR12.00m
Nicolo Zaniolo,Attacking Midfield,25,EUR20.00m,Italy,Atalanta BC,Serie A,Loan fee:EUR6.40m
Pierre Kalulu,Centre-Back,24,EUR20.00m,France,Juventus,Serie A,Loan fee:EUR3.30m
El Bilal Toure,Centre-Forward,22,EUR20.00m,Mali,VfB Stuttgart,Bundesliga,Loan fee:EUR2.50m
Manu Kone,Central Midfield,23,EUR20.00m,France,AS Roma,Serie A,loan transfer
Arthur Theate,Centre-Back,24,EUR20.00m,Belgium,E. Frankfurt,Bundesliga,loan transfer
Orel Mangala,Central Midfield,26,EUR20.00m,Belgium,Everton,Premier League,loan transfer
Guido Rodriguez,Defensive Midfield,30,EUR20.00m,Argentina,West Ham,Premier League,free transfer
Carlos Soler,Central Midfield,27,EUR20.00m,Spain,West Ham,Premier League,loan transfer
Tosin Adarabioyo,Centre-Back,26,EUR20.00m,England,Chelsea,Premier League,free transfer
Djordje Petrovic,Goalkeeper,24,EUR20.00m,Serbia,R. Strasbourg,Ligue 1,loan transfer
Lazar Samardzic,Central Midfield,22,EUR20.00m,Serbia,Atalanta BC,Serie A,loan transfer
Raphael Varane,Centre-Back,31,EUR20.00m,France,Como,Serie A,free transfer
Georginio Rutter,Centre-Forward,22,EUR18.00m,France,Brighton,Premier League,EUR46.70m
Archie Gray,Central Midfield,18,EUR18.00m,England,Tottenham,Premier League,EUR41.25m
Lewis Hall,Left-Back,19,EUR18.00m,England,Newcastle,Premier League,EUR33.00m
Ernest Nuamah,Right Winger,20,EUR18.00m,Ghana,Olympique Lyon,Ligue 1,EUR28.50m
Enzo Le Fee,Central Midfield,24,EUR18.00m,France,AS Roma,Serie A,EUR23.00m
Steven Bergwijn,Left Winger,26,EUR18.00m,Netherlands,Al-Ittihad,Saudi Pro League,EUR21.00m
Gabriel Sara,Central Midfield,25,EUR18.00m,Brazil,Galatasaray,Super Lig,EUR18.00m
Enes Unal,Centre-Forward,27,EUR18.00m,Türkiye,Bournemouth,Premier League,EUR16.50m
Zeno Debast,Centre-Back,20,EUR18.00m,Belgium,Sporting CP,Liga Portugal,EUR15.50m
Emerson Royal,Right-Back,25,EUR18.00m,Brazil,AC Milan,Serie A,EUR15.00m
Ismaila Sarr,Right Winger,26,EUR18.00m,Senegal,Crystal Palace,Premier League,EUR15.00m
Thijs Dallinga,Centre-Forward,23,EUR18.00m,Netherlands,Bologna,Serie A,EUR15.00m
Billy Gilmour,Defensive Midfield,23,EUR18.00m,Scotland,SSC Napoli,Serie A,EUR14.00m
Jordan Teze,Right-Back,24,EUR18.00m,Netherlands,Monaco,Ligue 1,EUR10.00m
Benjamin Bourigeaud,Central Midfield,30,EUR18.00m,France,Al-Duhail SC,Stars League,EUR10.00m
Allan Saint-Maximin,Left Winger,27,EUR18.00m,France,Fenerbahce,Super Lig,Loan fee:EUR8.00m
Michele Di Gregorio,Goalkeeper,26,EUR18.00m,Italy,Juventus,Serie A,Loan fee:EUR4.50m
Andrea Colpani,Attacking Midfield,25,EUR18.00m,Italy,Fiorentina,Serie A,Loan fee:EUR4.00m
Simon Banza,Centre-Forward,28,EUR18.00m,DR Congo,Trabzonspor,Super Lig,Loan fee:EUR2.00m
Edoardo Bove,Central Midfield,22,EUR18.00m,Italy,Fiorentina,Serie A,Loan fee:EUR1.50m
Robin Koch,Centre-Back,27,EUR18.00m,Germany,E. Frankfurt,Bundesliga,free transfer
Pierre-Emile Hojbjerg,Defensive Midfield,28,EUR18.00m,Denmark,Marseille,Ligue 1,loan transfer
Lloyd Kelly,Centre-Back,25,EUR18.00m,England,Newcastle,Premier League,free transfer
Daichi Kamada,Attacking Midfield,27,EUR18.00m,Japan,Crystal Palace,Premier League,free transfer
Facundo Buonanotte,Attacking Midfield,19,EUR18.00m,Argentina,Leicester,Premier League,loan transfer
Luis Sinisterra,Left Winger,25,EUR17.00m,Colombia,Bournemouth,Premier League,EUR23.40m
Hamed Junior Traore,Attacking Midfield,24,EUR17.00m,Cote d'Ivoire,AJ Auxerre,Ligue 1,loan transfer
Leandro Barreiro,Central Midfield,24,EUR17.00m,Luxembourg,Benfica,Liga Portugal,free transfer
Yankuba Minteh,Right Winger,19,EUR16.00m,The Gambia,Brighton,Premier League,EUR35.00m
Moussa Niakhate,Centre-Back,28,EUR16.00m,Senegal,Olympique Lyon,Ligue 1,EUR31.90m
Mateo Retegui,Centre-Forward,25,EUR16.00m,Italy,Atalanta BC,Serie A,EUR22.00m
Alvaro Morata,Centre-Forward,31,EUR16.00m,Spain,AC Milan,Serie A,EUR13.00m
Giovani Lo Celso,Central Midfield,28,EUR16.00m,Argentina,Real Betis,LaLiga,EUR5.00m
Mohamed Amoura,Centre-Forward,24,EUR16.00m,Algeria,VfL Wolfsburg,Bundesliga,Loan fee:EUR3.00m
Elliot Anderson,Central Midfield,21,EUR15.00m,England,Nottm Forest,Premier League,EUR41.20m
Niclas Fullkrug,Centre-Forward,31,EUR15.00m,Germany,West Ham,Premier League,EUR27.00m
Oliver Skipp,Defensive Midfield,23,EUR15.00m,England,Leicester,Premier League,EUR23.50m
Jacob Greaves,Centre-Back,23,EUR15.00m,England,Ipswich,Premier League,EUR21.50m
Antonio Nusa,Left Winger,19,EUR15.00m,Norway,RB Leipzig,Bundesliga,EUR21.00m
Raoul Bellanova,Right-Back,24,EUR15.00m,Italy,Atalanta BC,Serie A,EUR20.00m
Iliman Ndiaye,Centre-Forward,24,EUR15.00m,Senegal,Everton,Premier League,EUR18.00m
Carlos Alcaraz,Central Midfield,21,EUR15.00m,Argentina,Flamengo,Serie A,EUR18.00m
Bento,Goalkeeper,25,EUR15.00m,Brazil,Al-Nassr,Saudi Pro League,EUR18.00m
Jack Clarke,Left Winger,23,EUR15.00m,England,Ipswich,Premier League,EUR17.70m
Jaden Philogene,Left Winger,22,EUR15.00m,England,Aston Villa,Premier League,EUR16.00m
Angelo,Right Winger,19,EUR15.00m,Brazil,Al-Nassr,Saudi Pro League,EUR23.00m
Alvaro Djalo,Left Winger,24,EUR15.00m,Spain,Athletic,LaLiga,EUR15.00m
Chadi Riad,Centre-Back,21,EUR15.00m,Morocco,Crystal Palace,Premier League,EUR15.00m
Cameron Puertas,Attacking Midfield,26,EUR15.00m,Spain,Al-Qadsiah,Saudi Pro League,EUR15.00m
Nikola Milenkovic,Centre-Back,26,EUR15.00m,Serbia,Nottm Forest,Premier League,EUR14.30m
Georges Mikautadze,Centre-Forward,23,EUR15.00m,Georgia,FC Metz,Ligue 2,EUR13.00m
Kerem Akturkoglu,Left Winger,25,EUR15.00m,Türkiye,Benfica,Liga Portugal,EUR12.00m
Gaston Alvarez,Centre-Back,24,EUR15.00m,Uruguay,Al-Qadsiah,Saudi Pro League,EUR12.00m
Hirving Lozano,Left Winger,29,EUR15.00m,Mexico,San Diego FC,N/A,EUR12.00m
Morato,Centre-Back,23,EUR15.00m,Brazil,Nottm Forest,Premier League,EUR11.00m
Luka Sucic,Central Midfield,21,EUR15.00m,Croatia,Real Sociedad,LaLiga,EUR10.00m
Chadi Riad,Centre-Back,21,EUR15.00m,Morocco,Real Betis,LaLiga,EUR9.00m
Jan-Niklas Beste,Left-Back,25,EUR15.00m,Germany,Benfica,Liga Portugal,EUR8.00m
Roland Sallai,Right Winger,27,EUR15.00m,Hungary,Galatasaray,Super Lig,EUR6.00m
